Species,ID,Mass,SVL,BL,Hand_Area,Foot_Area,Trial,Date,Calibration,Frame_Rate,Decimation,Incline,Hind_Stance_Start,Hind_Stance_End,Hind_Swing_End,Fore_Stance_Start,Fore_Stance_End,Fore_Swing_End,Hand_Spread,Foot_Spread
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.0709,0.11936,Aaen21_Flat04,3/5/24,240305_Calib05,400,1,0,3,148,168,65,206,226,108.111,112.933
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.0709,0.11936,Aaen21_Flat05,3/5/24,240305_Calib05,400,1,0,2,134,156,60,199,217,102.938,112.308
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.0709,0.11936,Aaen21_Vert01,3/4/24,240304_Calib06,400,1,90,9,314,340,128,416,456,99.683,119.693
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.0709,0.11936,Aaen21_Vert02,3/4/24,240304_Calib06,400,1,90,4,442,465,144,561,589,99.784,107.016
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.0709,0.11936,Aaen21_Vert03,3/4/24,240304_Calib06,400,1,90,5,485,526,141,657,694,109.32,119.416
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.0709,0.11936,Aaen21_Vert04,3/4/24,240304_Calib06,400,1,90,5,286,312,99,371,409,103.679,109.266
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.0709,0.11936,Aaen21_Vert05,3/4/24,240304_Calib06,400,1,90,6,459,494,136,607,633,106.503,114.842
Aneides aeneus,Aaen22,1.41,4.55,10.25,0.11058,0.17728,Aaen22_45deg02,4/19/24,240419_Calib01,400,1,45,5,126,147,65,178,204,99.356,117.256
Aneides aeneus,Aaen22,1.41,4.55,10.25,0.11058,0.17728,Aaen22_45deg03,4/19/24,240419_Calib01,400,1,45,4,145,169,64,211,239,110.635,113.863
Aneides aeneus,Aaen22,1.41,4.55,10.25,0.11058,0.17728,Aaen22_45deg04,4/19/24,240419_Calib01,400,1,45,3,113,135,59,166,191,114.046,115.754
Aneides aeneus,Aaen22,1.41,4.55,10.25,0.11058,0.17728,Aaen22_45deg05,4/19/24,240419_Calib01,400,1,45,3,133,155,61,197,224,98.19,114.481
Aneides aeneus,Aaen22,1.41,4.55,10.25,0.11058,0.17728,Aaen22_45deg06,4/19/24,240419_Calib01,400,1,45,3,86,105,50,127,148,98.504,122.341
Aneides aeneus,Aaen22,1.22,4.55,10.25,0.11058,0.17728,Aaen22_80deg01,4/27/24,240427_Calib11,400,1,80,3,177,204,71,241,270,110.591,112.375
Aneides aeneus,Aaen22,1.22,4.55,10.25,0.11058,0.17728,Aaen22_80deg02,4/27/24,240427_Calib11,400,1,80,5,224,253,92,291,320,108.968,116.439
Aneides aeneus,Aaen22,1.3,4.55,10.25,0.11058,0.17728,Aaen22_80deg05,4/29/24,240429_Calib09,400,1,80,6,371,404,160,473,516,102.321,126.258
Aneides aeneus,Aaen22,1.3,4.55,10.25,0.11058,0.17728,Aaen22_80deg06,4/29/24,240429_Calib09,400,1,80,6,266,296,105,360,392,107.151,125.806
Aneides aeneus,Aaen22,1.3,4.55,10.25,0.11058,0.17728,Aaen22_80deg07,4/29/24,240429_Calib09,400,1,80,3,261,292,87,347,392,108.017,128.324
Aneides aeneus,Aaen22,1.41,4.55,10.25,0.11058,0.17728,Aaen22_Flat02,4/11/24,240411_Calib02,400,1,0,3,74,96,41,112,133,117.289,114.148
Aneides aeneus,Aaen22,1.41,4.55,10.25,0.11058,0.17728,Aaen22_Flat03,4/11/24,240411_Calib02,400,1,0,4,104,128,53,155,179,111.701,116.06
Aneides aeneus,Aaen22,1.41,4.55,10.25,0.11058,0.17728,Aaen22_Flat04,4/11/24,240411_Calib02,400,1,0,4,76,94,39,110,129,105.971,114.574
Aneides aeneus,Aaen22,1.41,4.55,10.25,0.11058,0.17728,Aaen22_Flat05,4/11/24,240411_Calib02,400,1,0,4,93,116,45,145,175,106.847,120.262
Aneides aeneus,Aaen22,1.41,4.55,10.25,0.11058,0.17728,Aaen22_Flat06,4/11/24,240411_Calib04,400,1,0,3,101,129,57,154,179,110.846,115.554
Aneides aeneus,Aaen22,1.16,4.55,10.25,0.11058,0.17728,Aaen22_Vert02,4/30/24,240430_Calib09,400,1,90,4,580,615,163,734,778,115.965,114.335
Aneides aeneus,Aaen22,1.16,4.55,10.25,0.11058,0.17728,Aaen22_Vert04,4/30/24,240430_Calib09,400,1,90,3,379,409,117,496,529,105.62,110.605
Aneides aeneus,Aaen22,1.16,4.55,10.25,0.11058,0.17728,Aaen22_Vert05,4/30/24,240430_Calib09,400,1,90,3,594,629,161,745,791,101.123,114.905
Aneides aeneus,Aaen22,1.16,4.55,10.25,0.11058,0.17728,Aaen22_Vert06,4/30/24,240430_Calib09,400,1,90,6,429,463,135,573,606,101.545,108.21
Aneides aeneus,Aaen22,1.16,4.55,10.25,0.11058,0.17728,Aaen22_Vert07,4/30/24,240430_Calib09,400,1,90,6,502,532,171,624,655,107.305,109.485
Aneides aeneus,Aaen25,1.55,5,11.1,0.11524,0.20961,Aaen25_45deg01,4/19/24,240419_Calib01,400,1,45,7,278,322,119,396,453,101.289,116.277
Aneides aeneus,Aaen25,1.55,5,11.1,0.11524,0.20961,Aaen25_45deg02,4/19/24,240419_Calib01,400,1,45,7,282,319,130,385,445,105.116,114.793
Aneides aeneus,Aaen25,1.55,5,11.1,0.11524,0.20961,Aaen25_45deg03,4/19/24,240419_Calib01,400,1,45,7,268,308,135,366,415,99.533,110.811
Aneides aeneus,Aaen25,1.55,5,11.1,0.11524,0.20961,Aaen25_45deg05,4/19/24,240419_Calib01,400,1,45,4,352,398,157,482,537,95.923,111.98
Aneides aeneus,Aaen25,1.55,5,11.1,0.11524,0.20961,Aaen25_45deg06,4/19/24,240419_Calib01,400,1,45,8,260,297,111,363,412,103.365,112.829
Aneides aeneus,Aaen25,1.6,5,11.1,0.11524,0.20961,Aaen25_80deg01,4/27/24,240427_Calib11,400,1,80,8,427,462,171,548,603,104.797,116.292
Aneides aeneus,Aaen25,1.6,5,11.1,0.11524,0.20961,Aaen25_80deg02,4/27/24,240427_Calib11,400,1,80,8,415,457,174,529,588,105.211,119.684
Aneides aeneus,Aaen25,1.5,5,11.1,0.11524,0.20961,Aaen25_80deg05,4/29/24,240429_Calib09,400,1,80,12,359,398,139,465,514,101.823,120.354
Aneides aeneus,Aaen25,1.5,5,11.1,0.11524,0.20961,Aaen25_80deg06,4/29/24,240429_Calib09,400,1,80,6,266,296,105,360,392,105.745,127.101
Aneides aeneus,Aaen25,1.5,5,11.1,0.11524,0.20961,Aaen25_80deg07,4/29/24,240429_Calib09,400,1,80,12,464,517,181,592,642,109.026,118.49
