Species,ID,Mass,SVL,BL,Arm_Length,Leg_Length,Hand_Area,Foot_Area,Trial,Date,Calibration,Frame_Rate,Decimation,Incline,Speed,Hind_Stride_Length,Fore_Stride_Length,Fore_Duty_Factor,Hind_Duty_Factor,Fore_Stride_Dur,Hind_Stride_Dur,Fore_Stride_Freq,Hind_Stride_Freq,Hand_Spread,Foot_Spread
Aneides aeneus,Aaen14,3.04,6,12.1,1.139807278,1.150232729,0.17214,0.31722,Aaen14_80deg04,3/2/24,240302_Calib02,400,1,80,1.459375866,2.996736977,2.768394103,0.92503023,0.916768666,2.0675,2.0425,0.483675937,0.489596083,94.382,126.288
Aneides aeneus,Aaen14,3.04,6,12.1,1.118927455,1.150277649,0.17214,0.31722,Aaen14_80deg05,3/2/24,240302_Calib02,400,1,80,1.512851119,3.008416068,2.84624377,0.931122449,0.923170732,1.96,2.05,0.510204082,0.487804878,98.616,128.764
Aneides aeneus,Aaen14,2.7,6,12.1,1.121648857,1.179725146,0.17214,0.31722,Aaen14_Flat01,11/3/23,231103_Calib01,400,1,0,10.09126982,3.940160545,3.926800291,0.767741935,0.840764331,0.3875,0.3925,2.580645161,2.547770701,92.703,120.824
Aneides aeneus,Aaen14,2.7,6,12.1,1.149463788,1.170017095,0.17214,0.31722,Aaen14_Flat02,11/3/23,231103_Calib01,400,1,0,3.818750593,3.468588593,3.596439152,0.796791444,0.897097625,0.935,0.9475,1.069518717,1.055408971,96.439,128.456
Aneides aeneus,Aaen14,2.7,6,12.1,1.148810035,1.149802167,0.17214,0.31722,Aaen14_Flat07,11/3/23,231103_Calib01,400,1,0,5.656801527,3.568768208,3.704404573,0.750972763,0.867768595,0.6425,0.605,1.556420233,1.652892562,103.542,128.727
Aneides aeneus,Aaen14,2.7,6,12.1,1.166433584,1.188048525,0.17214,0.31722,Aaen14_Flat08,11/3/23,231103_Calib01,400,1,0,7.275226557,3.804783056,3.619232676,0.736585366,0.821989529,0.5125,0.4775,1.951219512,2.094240838,101.827,125.453
Aneides aeneus,Aaen14,2.7,6,12.1,1.170855587,1.18655832,0.17214,0.31722,Aaen14_Flat09,11/3/23,231103_Calib01,400,1,0,6.381119493,3.522321381,3.546999056,0.730088496,0.855769231,0.565,0.52,1.769911504,1.923076923,103.968,124.008
Aneides aeneus,Aaen14,2.51,6,12.1,1.163279419,1.190628091,0.17214,0.31722,Aaen14_Vert03,12/6/23,231206_Calib10,400,1,90,1.611634182,3.130670756,3.143602787,0.908602151,0.900128041,1.86,1.9525,0.537634409,0.512163892,97.15,122.742
Aneides aeneus,Aaen14,2.51,6,12.1,1.148143125,1.197288525,0.17214,0.31722,Aaen14_Vert04,12/6/23,231206_Calib10,400,1,90,1.376069517,3.265730378,3.348733882,0.892744479,0.907070707,2.3775,2.475,0.420609884,0.404040404,92.259,127.492
Aneides aeneus,Aaen14,2.51,6,12.1,1.164027068,1.20637316,0.17214,0.31722,Aaen14_Vert06,12/6/23,231206_Calib10,400,1,90,2.168997354,3.104220935,3.124538751,0.91234347,0.89678511,1.3975,1.4775,0.715563506,0.676818951,95.09,123.475
Aneides aeneus,Aaen14,2.51,6,12.1,1.15373008,1.207009806,0.17214,0.31722,Aaen14_Vert07,12/6/23,231206_Calib10,400,1,90,2.220794318,3.295269883,2.959227699,0.896551724,0.855670103,1.45,1.455,0.689655172,0.687285223,99.25,125.511
Aneides aeneus,Aaen14,2.51,6,12.1,1.16011237,1.1782911,0.17214,0.31722,Aaen14_Vert08,12/6/23,231206_Calib10,400,1,90,1.800061118,3.090444147,3.27746292,0.894964029,0.900277008,1.7375,1.805,0.575539568,0.55401662,96.224,125.371
Aneides aeneus,Aaen17,1.8,4.7,10.7,1.048545195,1.049812712,0.12565,0.2302,Aaen17_45deg01,4/19/24,240419_Calib01,400,1,45,3.683527534,2.924886749,3.167258214,0.818731118,0.889589905,0.8275,0.7925,1.208459215,1.261829653,116.74,131.081
Aneides aeneus,Aaen17,1.8,4.7,10.7,1.039755165,1.062018869,0.12565,0.2302,Aaen17_45deg02,4/19/24,240419_Calib01,400,1,45,3.286217862,2.953038851,3.126280536,0.820936639,0.888888889,0.9075,0.9,1.101928375,1.111111111,112.281,132.728
Aneides aeneus,Aaen17,1.8,4.7,10.7,1.03726751,1.04347321,0.12565,0.2302,Aaen17_45deg03,4/19/24,240419_Calib01,400,1,45,3.083299887,2.984804293,2.888142648,0.83042394,0.905013193,1.0025,0.9475,0.997506234,1.055408971,114.888,134.425
Aneides aeneus,Aaen17,1.8,4.7,10.7,1.044780298,1.063286146,0.12565,0.2302,Aaen17_45deg05,4/19/24,240419_Calib01,400,1,45,3.385791808,3.096008554,2.71723807,0.853932584,0.891364903,0.89,0.8975,1.123595506,1.114206128,116.045,130.374
Aneides aeneus,Aaen17,1.8,4.7,10.7,1.061268961,1.055973079,0.12565,0.2302,Aaen17_45deg06,4/19/24,240419_Calib01,400,1,45,3.094013624,2.934467535,3.057500496,0.829516539,0.91292876,0.9825,0.9475,1.017811705,1.055408971,118.087,130.409
Aneides aeneus,Aaen17,1.85,4.7,10.7,1.036650085,1.059454516,0.12565,0.2302,Aaen17_80deg01,4/27/24,240427_Calib11,400,1,80,2.702147908,2.853128464,2.68207453,0.910165485,0.895121951,1.0575,1.025,0.945626478,0.975609756,101.605,127.801
Aneides aeneus,Aaen17,1.85,4.7,10.7,1.029227112,1.06583747,0.12565,0.2302,Aaen17_80deg03,4/27/24,240427_Calib11,400,1,80,3.609514331,2.855341992,2.934432284,0.868035191,0.882716049,0.8525,0.81,1.173020528,1.234567901,101.664,125.153
Aneides aeneus,Aaen17,1.85,4.7,10.7,1.034717804,1.061354066,0.12565,0.2302,Aaen17_80deg05,4/27/24,240427_Calib11,400,1,80,3.62965176,2.970707061,2.935932988,0.849230769,0.917460317,0.8125,0.7875,1.230769231,1.26984127,104.805,128.065
Aneides aeneus,Aaen17,1.85,4.7,10.7,1.034714478,1.046484254,0.12565,0.2302,Aaen17_80deg06,4/27/24,240427_Calib11,400,1,80,2.563714057,2.976952334,2.85406931,0.874186551,0.910313901,1.1525,1.115,0.867678959,0.896860987,107.365,133.73
Aneides aeneus,Aaen17,1.85,4.7,10.7,1.046445169,1.05553747,0.12565,0.2302,Aaen17_80deg07,4/27/24,240427_Calib11,400,1,80,2.168742881,2.763097383,2.663884741,0.894,0.919517103,1.25,1.2425,0.8,0.804828974,105.698,136.396
Aneides aeneus,Aaen17,1.88,4.7,10.7,1.053488583,1.060238264,0.12565,0.2302,Aaen17_Flat01,4/11/24,240411_Calib02,400,1,0,4.044889671,2.840646324,2.925987654,0.793103448,0.892086331,0.725,0.695,1.379310345,1.438848921,111.819,128.153
Aneides aeneus,Aaen17,1.88,4.7,10.7,1.074884369,1.093270089,0.12565,0.2302,Aaen17_Flat02,4/11/24,240411_Calib02,400,1,0,5.036039888,3.077902154,2.795913993,0.796610169,0.86036036,0.59,0.555,1.694915254,1.801801802,112.078,130.089
Aneides aeneus,Aaen17,1.88,4.7,10.7,1.06026346,1.092412682,0.12565,0.2302,Aaen17_Flat03,4/11/24,240411_Calib02,400,1,0,4.168067979,3.084011248,2.977815593,0.842105263,0.892086331,0.7125,0.695,1.403508772,1.438848921,111.2,138.356
Aneides aeneus,Aaen17,1.88,4.7,10.7,1.084842082,1.065735831,0.12565,0.2302,Aaen17_Flat04,4/11/24,240411_Calib02,400,1,0,3.569249574,2.701077463,2.787009057,0.833865815,0.915309446,0.7825,0.7675,1.277955272,1.302931596,115.972,135.194
Aneides aeneus,Aaen17,1.88,4.7,10.7,1.0560713,1.080725199,0.12565,0.2302,Aaen17_Flat05,4/11/24,240411_Calib02,400,1,0,3.811250252,2.982016226,3.008840679,0.81270903,0.88961039,0.7475,0.77,1.337792642,1.298701299,112.903,137.121
Aneides aeneus,Aaen17,1.76,4.7,10.7,1.041654757,1.086139505,0.12565,0.2302,Aaen17_Vert01,5/1/24,240501_Calib02,400,1,90,1.275953046,2.227107508,2.237048557,0.929339478,0.924924925,1.6275,1.665,0.614439324,0.600600601,106.261,119.719
Aneides aeneus,Aaen17,1.76,4.7,10.7,1.05379727,1.082834686,0.12565,0.2302,Aaen17_Vert04,5/1/24,240501_Calib02,400,1,90,2.615868716,2.64960877,2.621698727,0.89346247,0.92039801,1.0325,1.005,0.968523002,0.995024876,101.917,130.03
Aneides aeneus,Aaen17,1.76,4.7,10.7,1.050087356,1.075189023,0.12565,0.2302,Aaen17_Vert05,5/1/24,240501_Calib02,400,1,90,2.26198229,2.62615415,2.583335134,0.897703549,0.925847458,1.1975,1.18,0.835073069,0.847457627,111.119,125.387
Aneides aeneus,Aaen17,1.76,4.7,10.7,1.05715648,1.077858179,0.12565,0.2302,Aaen17_Vert06,5/1/24,240501_Calib02,400,1,90,3.448719569,2.86320765,2.795605536,0.862573099,0.911854103,0.855,0.8225,1.169590643,1.215805471,102.721,129.034
Aneides aeneus,Aaen17,1.76,4.7,10.7,1.041523175,1.083274052,0.12565,0.2302,Aaen17_Vert07,5/1/24,240501_Calib02,400,1,90,2.443744045,2.885693598,2.66727432,0.901315789,0.927312775,1.14,1.135,0.877192982,0.881057269,105.611,123.194
Aneides aeneus,Aaen20,0.93,3.85,7.1,0.826496474,0.877070108,0.07585,0.132,Aaen20_45deg02,4/16/24,240416_Calib03,400,1,45,4.790281442,2.526516218,2.480399712,0.838095238,0.851674641,0.525,0.5225,1.904761905,1.913875598,102.965,111.01
Aneides aeneus,Aaen20,0.93,3.85,7.1,0.815590176,0.872740312,0.07585,0.132,Aaen20_45deg03,4/16/24,240416_Calib03,400,1,45,6.336728161,2.469909837,2.563055494,0.851851852,0.869047619,0.405,0.42,2.469135802,2.380952381,98.367,106.633
Aneides aeneus,Aaen20,0.93,3.85,7.1,0.809914599,0.867260135,0.07585,0.132,Aaen20_45deg04,4/16/24,240416_Calib03,400,1,45,3.424399113,2.632800965,2.603411439,0.780952381,0.876254181,0.7875,0.7475,1.26984127,1.337792642,98.139,123.319
Aneides aeneus,Aaen20,0.93,3.85,7.1,0.811451743,0.877100495,0.07585,0.132,Aaen20_45deg05,4/16/24,240416_Calib03,400,1,45,6.069854993,2.446559633,2.560329856,0.852941176,0.839506173,0.425,0.405,2.352941176,2.469135802,97.771,105.009
Aneides aeneus,Aaen20,0.93,3.85,7.1,0.810541803,0.880205208,0.07585,0.132,Aaen20_45deg06,4/16/24,240416_Calib03,400,1,45,4.570350267,2.545062142,2.524318754,0.88,0.852678571,0.5625,0.56,1.777777778,1.785714286,99.599,104.149
Aneides aeneus,Aaen20,0.9,3.85,7.1,0.8100035,0.897043802,0.07585,0.132,Aaen20_80deg01,4/24/24,240424_Calib01,400,1,80,2.967398285,2.271395369,2.346708627,0.881028939,0.902597403,0.7775,0.77,1.286173633,1.298701299,106.747,119.032
Aneides aeneus,Aaen20,0.9,3.85,7.1,0.820390569,0.887394878,0.07585,0.132,Aaen20_80deg03,4/24/24,240424_Calib01,400,1,80,2.177996159,1.873055448,2.028713528,0.912568306,0.926136364,0.915,0.88,1.092896175,1.136363636,102.62,116.884
Aneides aeneus,Aaen20,0.9,3.85,7.1,0.822061415,0.895643184,0.07585,0.132,Aaen20_80deg04,4/24/24,240424_Calib01,400,1,80,2.688963698,2.197951848,1.829259012,0.932692308,0.9125,0.78,0.8,1.282051282,1.25,108.619,116.734
Aneides aeneus,Aaen20,0.9,3.85,7.1,0.81110528,0.879218305,0.07585,0.132,Aaen20_80deg05,4/24/24,240424_Calib01,400,1,80,2.668951776,2.175097087,2.105877857,0.918181818,0.918181818,0.825,0.825,1.212121212,1.212121212,106.314,114.664
Aneides aeneus,Aaen20,0.9,3.85,7.1,0.808554271,0.868450516,0.07585,0.132,Aaen20_80deg06,4/24/24,240424_Calib01,400,1,80,2.716638187,2.136481792,1.861486745,0.899676375,0.919881306,0.7725,0.8425,1.294498382,1.18694362,106.655,116.514
Aneides aeneus,Aaen20,0.88,3.85,7.1,0.809598587,0.87304608,0.07585,0.132,Aaen20_Flat01,4/10/24,240410_Calib05,400,1,0,8.44845297,2.794903909,2.73425146,0.777777778,0.815384615,0.3375,0.325,2.962962963,3.076923077,93.75,107.379
