Calibration,P1_X,P1_Y,P1_Z,P2_X,P2_Y,P2_Z,P3_X,P3_Y,P3_Z
231122_Calib05,8.665034411,4.16236698,2.518244357,7.296161543,3.062865978,2.999835419,3.348660951,5.072373965,2.088768926
231206_Calib03,11.93456719,10.09598622,-0.629485647,10.99326542,8.426262274,1.125374181,5.214891034,8.657991738,0.806249926
231206_Calib10,10.32319918,5.58756136,2.698114874,3.578631204,3.272302789,4.163982365,6.747904324,4.305412123,3.514539761
231209_Calib02,6.33440186,2.971855979,4.110990682,10.03431464,1.994597673,4.731787245,7.850737542,3.765898375,3.658051198
231211_Calib06,9.775082114,7.021773561,2.130027124,1.695261124,5.224291166,3.583346509,5.320868322,6.323528064,2.677852582
231212_Calib01,6.669365245,4.839503485,2.462250235,5.409642455,3.77625198,2.990626443,2.18862415,5.76643901,1.96819623
240123_Calib01,11.85222168,6.858537413,1.97025811,3.938922622,6.522969042,2.135379813,6.675787691,6.794928808,1.989800549
240127_Calib02,1.197204783,6.511937714,2.295705009,2.935923828,6.549622652,2.273550394,1.990771964,5.354974705,3.18350344
240127_Calib04,6.069349927,5.63553501,2.285856056,9.33752133,5.378868344,2.445835401,15.15760146,3.759763756,3.37015214
240202_Calib01,9.989325708,6.001583947,2.323899366,8.660906887,5.098652886,2.906218094,5.043808665,7.344195622,1.441973144
240206_Calib02,3.860197964,6.506580447,2.82036986,6.29818526,6.830631042,2.53536432,10.94429472,5.308603052,4.023478713
240212_Calib02,13.69135594,5.713923647,2.341260291,8.899618096,6.023014257,2.1373937,3.279388194,5.804483717,2.22481466
240217_Calib01,3.50415634,5.974108856,2.337478274,7.029399408,5.827908453,2.460210284,13.14023874,3.285938256,4.14723424
240217_Calib02,11.97304727,9.75382448,-0.307345104,5.953692978,8.816123508,0.688889922,0.999381849,7.08199542,2.583060086
240227_Calib01,4.511464185,7.908106298,1.097117957,0.004190792,7.243850529,1.460042603,1.416804572,8.381891662,0.765774438
240227_Calib03,6.927439949,6.235410704,1.743604394,0.943541405,8.384236417,0.62368215,11.19459268,3.566446702,3.098134382
240229_Calib01,-4.931151207,7.976134358,0.838335381,-0.755593396,6.810850485,1.494567344,4.191492235,5.267993896,2.335145085
240302_Calib02,5.174823247,6.479170234,2.425596161,7.359199529,5.605906806,3.145213108,-0.829904547,4.496171447,3.934015106
240304_Calib01,7.015547882,4.757611382,3.128621777,1.044223724,5.106220805,2.802322446,0.913371075,7.260457098,1.334503054
240304_Calib03,8.640814497,9.101668897,0.490736212,8.969337591,8.237268421,2.067273073,4.348829268,9.986556546,-1.126841723
240304_Calib06,4.890370648,7.282796764,2.1745066,3.926887745,6.351248918,3.095784119,0.151070974,7.588927615,1.833056115
240305_Calib01,0.715402146,6.899618075,2.589947488,1.459679388,6.940881067,2.553871961,0.386924669,6.083593018,3.437995815
240305_Calib02,7.672614873,5.359808935,2.320343214,6.130064246,4.44771733,2.794332798,2.716438216,6.823737625,1.510476848
240305_Calib03,6.716969237,7.069611362,1.636183846,2.757827289,6.455931382,2.017231763,1.353897755,8.073156878,0.966703582
240305_Calib04,7.668975667,6.43962556,2.102849669,6.354340352,5.491905792,2.704285421,2.91233062,7.635162596,1.287210021
240305_Calib05,7.851130291,5.290319231,3.651466661,4.765296669,4.174973284,4.557254987,2.579145002,5.234715888,3.653741184
240409_Calib01,9.124702199,5.352078765,1.954767787,7.369104871,4.380377344,2.369963164,3.506913877,6.429186309,1.471830672
240410_Calib02,2.250636742,6.926162378,1.590214451,0.882977555,6.327094458,1.937409236,-2.304721168,7.739550324,1.09206839
240410_Calib03,0.860394898,5.517728111,2.740377065,2.672682035,6.078746669,2.370269227,5.4746532,5.208152279,2.977576742
